ID     Step     MaxR |    avgR     stdR | avgS stdS |    objC     etc.
Act FileNotFound when load_model: output/2022-04-27_16-25-48
Critic FileNotFound when load_model: output/2022-04-27_16-25-48
pygame 2.0.1 (SDL 2.0.14, Python 3.6.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
 O  2.01e+06    50.50 |    0.00     0.00 |  127    0 |    0.12    -0.03    -0.08    -0.06
 O  2.02e+06    50.50 |   -0.25     1.09 |  127    0 |    0.05     0.03    -0.11     0.06
 O  2.03e+06    50.50 |    0.00     0.63 |  127    0 |    0.16    -0.01    -0.02     9.66
 O  2.04e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.00    -0.06     0.00
 O  2.06e+06    50.50 |   -0.25     1.09 |  127    0 |    0.10    -0.04    -0.05     0.06
 O  2.07e+06    50.50 |    0.50     1.50 |  127    0 |    0.05    -0.06    -0.06    -0.03
 O  2.08e+06    50.50 |    0.10     0.44 |  127    0 |    0.15     0.10    -0.09     0.47
 O  2.09e+06    50.50 |    0.10     0.44 |  127    0 |    0.05     0.02    -0.08     0.12
 O  2.11e+06    50.50 |   15.10    66.98 |  127    1 |    0.03     0.03    -0.06    -0.06
 O  2.12e+06    50.50 |   -0.10     0.44 |  127    0 |    0.02     0.04    -0.10    -0.12
 O  2.13e+06    50.50 |    0.00     0.00 |  127    0 |    0.10     0.01    -0.13     0.25
 O  2.14e+06    50.50 |    0.10     0.44 |  127    0 |    0.16     0.04    -0.08     0.16
 O  2.15e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.06    -0.36     0.00
 O  2.17e+06    50.50 |    0.05     0.22 |  127    0 |    0.14     0.03    -0.45     0.25
 O  2.18e+06    50.50 |    0.00     0.00 |  127    0 |    0.05    -0.02    -0.21    -0.12
 O  2.19e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.10    -0.25     0.00
 O  2.20e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.10    -0.13     0.00
 O  2.22e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.03    -0.18     0.00
 O  2.23e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.05    -0.09     0.00
 O  2.24e+06    50.50 |    0.00     0.00 |  127    0 |    0.07     0.01    -0.14    -0.16
 O  2.25e+06    50.50 |   -0.35     1.53 |  126    2 |    0.21     0.04    -0.11     0.00
 O  2.27e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.02    -0.12     0.00
 O  2.28e+06    50.50 |    0.10     0.44 |  127    0 |    0.00     0.06    -0.10     0.00
 O  2.29e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.05    -0.12     0.00
 O  2.30e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.02    -0.11     0.00
 O  2.31e+06    50.50 |    0.00     0.00 |  127    0 |    0.06     0.02    -0.10     0.16
 O  2.33e+06    50.50 |    0.05     0.22 |  127    0 |    0.11     0.10    -0.07    -0.16
 O  2.34e+06    50.50 |    0.05     0.22 |  127    0 |    0.00     0.01    -0.06     0.00
 O  2.35e+06    50.50 |   15.50    67.56 |  125   10 |    0.00     0.04    -0.05     0.00
 O  2.36e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.01    -0.02     0.00
 O  2.38e+06    50.50 |    0.00     0.00 |  127    0 |    0.03     0.03    -0.07     0.00
 O  2.39e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.03    -0.08     0.00
 O  2.40e+06    50.50 |    0.00     0.00 |  127    0 |    0.01    -0.23    -0.07     0.03
 O  2.41e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.07    -0.09     0.00
 O  2.42e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.03    -0.09     0.00
 O  2.44e+06    50.50 |    0.00     0.00 |  127    0 |    0.10     0.00    -0.08    -0.28
 O  2.45e+06    50.50 |    0.10     0.44 |  127    0 |    0.02     0.02    -0.05    -0.03
 O  2.46e+06    50.50 |    0.00     0.00 |  127    0 |    0.04    -0.10    -0.04     0.06
 O  2.47e+06    50.50 |    0.00     0.00 |  127    0 |    0.07    -0.05    -0.08    -0.16
 O  2.49e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.02    -0.04     0.00
 O  2.50e+06    50.50 |    0.00     0.00 |  127    0 |    0.02     0.01    -0.06     0.03
 O  2.51e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.03    -0.03     0.00
 O  2.52e+06    50.50 |    0.00     0.00 |  127    0 |    0.05     0.02    -0.09     0.16
 O  2.54e+06    50.50 |    0.00     0.00 |  127    0 |    0.02    -0.06    -0.05    -0.03
 O  2.55e+06    50.50 |    0.00     0.00 |  127    0 |    0.04     0.06    -0.04     0.06
 O  2.56e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.00    -0.04     0.00
 O  2.57e+06    50.50 |    0.00     0.00 |  127    0 |    0.13     0.08    -0.08    -0.36
 O  2.58e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.06    -0.08     0.00
 O  2.60e+06    50.50 |    0.00     0.00 |  127    0 |    0.06    -0.07    -0.06    -0.16
 O  2.61e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.03    -0.07     0.00
 O  2.62e+06    50.50 |    0.00     0.00 |  127    0 |    0.06    -0.05    -0.16     0.09
 O  2.63e+06    50.50 |    0.00     0.00 |  127    0 |    0.05    -0.01    -0.19    -0.06
 O  2.65e+06    50.50 |    0.00     0.00 |  127    0 |    0.08    -0.03    -0.10    -0.09
 O  2.66e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.01    -0.12     0.00
 O  2.67e+06    50.50 |    0.00     0.00 |  127    0 |    0.13     0.02    -0.14    -0.25
 O  2.68e+06    50.50 |   -0.10     0.44 |  127    0 |    0.09    -0.01    -0.09    -0.09
 O  2.70e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.06    -0.10     0.00
 O  2.71e+06    50.50 |   -0.10     0.44 |  127    0 |    0.00     0.07    -0.12     0.00
